1:1:48:0\r\n
85:2:11:0\r\n
86:2:10:1\r\n
87:1:60:1\r\n
88:2:10:1\r\n
89:1:30:1\r\n
90:1:50:1\r\n
91:3:1:1\r\n
92:1:60:0\r\n
93:2:0:0\r\n
94:3:1:0\r\n
95:1:60:0\r\n
96:2:0:0\r\n
97:2:0:1\r\n
98:1:50:1\r\n
99:3:1:1\r\n
100:2:10:1\r\n
101:3:1:1\r\n
102:2:0:1\r\n
103:2:10:1\r\n
104:1:30:1\r\n
105:1:60:1\r\n
106:2:0:0\r\n
107:3:1:0\r\n
108:1:60:0\r\n
109:2:0:0\r\n
110:3:1:0\r\n
111:3:1:1\r\n
112:3:1:0\r\n
113:1:60:0\r\n
114:2:0:0\r\n
115:3:1:0\r\n
116:1:60:0\r\n
117:2:0:0\r\n
118:1:30:1\r\n
119:2:20:1\r\n
120:3:1:0\r\n
121:1:60:0\r\n
122:2:0:0\r\n
123:3:1:1\r\n
124:1:50:1\r\n
125:2:10:1\r\n
126:1:60:0\r\n
127:2:0:0\r\n
128:3:1:0\r\n
129:3:1:1\r\n
130:3:1:1\r\n
131:2:0:1\r\n
132:2:10:1\r\n
133:3:1:0\r\n
134:1:60:0\r\n
135:2:0:0\r\n
136:2:10:1\r\n
137:1:30:1\r\n
138:2:20:1\r\n
139:1:40:0\r\n
140:2:0:0\r\n
141:1:30:1\r\n
142:2:20:1\r\n
143:3:1:1\r\n
144:1:20:0\r\n
145:2:0:0\r\n
146:3:1:1\r\n
147:3:1:1\r\n
148:2:0:1\r\n
149:3:1:1\r\n
150:1:30:1\r\n
151:2:20:1\r\n
152:1:60:0\r\n
153:1:50:1\r\n
154:2:10:1\r\n
155:3:1:1\r\n
156:1:60:1\r\n
157:1:60:0\r\n
158:2:0:1\r\n
159:1:50:1\r\n
160:1:30:1\r\n
161:2:20:1\r\n
162:3:1:1\r\n
163:3:0:0\r\n
164:1:60:0\r\n
165:2:0:0\r\n
166:3:0:0\r\n
167:1:60:0\r\n
168:2:0:0\r\n
169:1:60:0\r\n
170:2:0:0\r\n
171:3:0:0\r\n
172:1:60:0\r\n
173:2:0:0\r\n
174:3:0:0\r\n
175:1:60:1\r\n
176:3:0:0\r\n
177:1:60:0\r\n
178:2:0:0\r\n
179:3:0:0\r\n
180:1:60:0\r\n
181:2:0:0\r\n
182:1:60:0\r\n
183:2:0:0\r\n
184:3:0:0\r\n
185:1:60:0\r\n
186:2:0:0\r\n
187:1:50:1\r\n
188:1:30:1\r\n
189:3:0:0\r\n
190:1:60:0\r\n
191:2:0:0\r\n
192:3:0:0\r\n
193:2:0:1\r\n
194:2:10:1\r\n
195:3:1:1\r\n
196:2:0:0\r\n
197:3:0:0\r\n
198:1:60:0\r\n
199:2:0:0\r\n
200:3:1:1\r\n
201:2:10:1\r\n
202:3:1:1\r\n
203:1:60:0\r\n
204:2:0:0\r\n
205:3:0:0\r\n
206:2:10:1\r\n
207:3:1:1\r\n
208:3:1:1\r\n
209:1:60:1\r\n
210:3:0:0\r\n
211:1:60:0\r\n
212:1:30:1\r\n
213:1:60:1\r\n
214:1:30:1\r\n
215:1:60:1\r\n
216:1:60:0\r\n
217:1:50:1\r\n
218:1:30:1\r\n
219:2:20:1\r\n
220:3:0:0\r\n
221:1:50:1\r\n
222:2:10:1\r\n
223:3:1:1\r\n
224:1:30:1\r\n
225:2:20:1\r\n
226:1:17:0\r\n
227:1:60:1\r\n
228:2:0:1\r\n
229:3:1:1\r\n
230:1:30:1\r\n
231:3:1:1\r\n
232:2:20:1\r\n
233:1:60:0\r\n
234:2:0:0\r\n
235:3:0:0\r\n
236:1:60:0\r\n
237:2:0:0\r\n
238:1:60:0\r\n
239:2:0:0\r\n
240:3:0:0\r\n
241:1:60:0\r\n
242:2:0:0\r\n
243:3:0:0\r\n
244:2:10:1\r\n
245:3:0:0\r\n
246:1:60:0\r\n
247:2:0:0\r\n
248:3:0:0\r\n
249:1:60:0\r\n
250:3:1:1\r\n
251:2:10:1\r\n
252:2:0:0\r\n
253:3:0:0\r\n
254:1:60:0\r\n
255:2:0:0\r\n
256:2:10:1\r\n
257:3:1:1\r\n
258:3:0:0\r\n
259:1:60:0\r\n
260:2:0:0\r\n
261:3:0:0\r\n
262:1:60:1\r\n
263:1:50:1\r\n
264:2:10:1\r\n
265:2:0:0\r\n
266:3:0:0\r\n
267:1:60:0\r\n
268:3:1:1\r\n
269:2:10:1\r\n
270:3:1:1\r\n
271:3:0:0\r\n
272:1:60:0\r\n
273:2:0:0\r\n
274:1:50:1\r\n
275:2:10:1\r\n
276:3:1:1\r\n
277:1:30:1\r\n
278:2:0:0\r\n
279:1:60:1\r\n
280:3:1:1\r\n
281:3:1:1\r\n
282:3:1:1\r\n
283:3:1:1\r\n
284:2:10:1\r\n
285:1:60:0\r\n
286:2:10:1\r\n
287:3:1:1\r\n
288:1:60:1\r\n
289:2:10:1\r\n
290:3:1:1\r\n
291:3:0:0\r\n
292:1:60:0\r\n
293:2:0:0\r\n
294:3:0:0\r\n
295:1:60:0\r\n
296:2:0:0\r\n
297:3:1:1\r\n
298:2:0:0\r\n
299:3:0:0\r\n
300:1:60:0\r\n
301:2:0:0\r\n
302:3:0:0\r\n
303:1:55:0\r\n
304:1:60:1\r\n
305:1:49:0\r\n
306:2:6:0\r\n
307:3:0:0\r\n
308:1:41:0\r\n
309:2:8:0\r\n
310:3:1:1\r\n
311:2:20:1\r\n
312:3:0:0\r\n
313:1:18:0\r\n
314:2:12:0\r\n
315:2:10:1\r\n
316:1:60:1\r\n
317:2:0:1\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:0:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:0:0\r\n
6:3:1:1\r\n
7:3:1:1\r\n
8:1:30:1\r\n
9:2:20:1\r\n
10:3:1:1\r\n
11:2:0:1\r\n
12:1:50:1\r\n
13:1:30:1\r\n
14:3:1:1\r\n
15:1:60:1\r\n
16:3:1:1\r\n
17:2:20:1\r\n
18:1:50:1\r\n
19:2:0:0\r\n
20:3:0:0\r\n
21:3:1:1\r\n
22:2:20:1\r\n
23:1:60:1\r\n
24:2:0:1\r\n
25:3:1:1\r\n
26:2:10:1\r\n
27:1:60:1\r\n
28:2:0:1\r\n
29:3:1:1\r\n
30:2:10:1\r\n
31:1:30:1\r\n
32:1:59:0\r\n
33:2:1:0\r\n
34:3:1:1\r\n
35:1:50:1\r\n
36:3:0:0\r\n
37:1:49:0\r\n
38:2:7:0\r\n
39:3:0:0\r\n
40:1:40:0\r\n
41:2:9:0\r\n
42:3:0:0\r\n
43:1:29:0\r\n
44:2:11:0\r\n
45:3:0:0\r\n
46:1:16:0\r\n
47:2:13:0\r\n
48:3:0:0\r\n
49:3:1:1\r\n
50:1:60:1\r\n
51:3:1:1\r\n
52:2:20:1\r\n
53:1:60:1\r\n
54:1:60:0\r\n
55:2:0:0\r\n
56:3:1:0\r\n
57:1:60:0\r\n
58:2:0:0\r\n
59:3:1:0\r\n
60:1:60:0\r\n
61:2:0:0\r\n
62:3:1:0\r\n
63:1:60:0\r\n
64:2:0:0\r\n
65:2:0:1\r\n
66:3:1:1\r\n
67:3:1:1\r\n
68:2:0:1\r\n
69:1:30:1\r\n
70:2:20:1\r\n
71:3:1:1\r\n
72:2:0:1\r\n
73:3:1:1\r\n
74:1:30:1\r\n
75:2:20:1\r\n
76:3:1:1\r\n
77:1:60:0\r\n
78:2:0:0\r\n
79:3:1:0\r\n
80:1:60:0\r\n
81:2:0:0\r\n
82:3:1:1\r\n
83:2:20:1\r\n
84:1:60:1\r\n
85:2:0:1\r\n
86:3:1:1\r\n
87:1:50:1\r\n
88:2:10:1\r\n
89:3:1:1\r\n
90:2:20:1\r\n
91:3:1:1\r\n
92:3:1:1\r\n
93:2:0:1\r\n
94:1:50:1\r\n
95:2:10:1\r\n
96:3:1:0\r\n
97:3:1:1\r\n
98:1:50:1\r\n
99:1:60:0\r\n
100:2:0:0\r\n
101:3:1:0\r\n
102:1:60:0\r\n
103:2:0:0\r\n
104:3:1:0\r\n
105:1:60:0\r\n
106:2:0:1\r\n
107:1:60:0\r\n
108:2:0:0\r\n
109:3:1:0\r\n
110:1:60:0\r\n
111:2:0:0\r\n
112:1:30:1\r\n
113:2:0:0\r\n
114:3:1:0\r\n
115:1:60:0\r\n
116:2:0:0\r\n
117:3:1:0\r\n
118:1:60:1\r\n
119:3:1:1\r\n
120:1:60:0\r\n
121:2:0:0\r\n
122:3:1:0\r\n
123:1:60:0\r\n
124:2:0:0\r\n
125:3:1:1\r\n
126:3:1:1\r\n
127:1:50:1\r\n
128:1:60:0\r\n
129:2:0:0\r\n
130:1:30:1\r\n
131:2:20:1\r\n
132:3:1:1\r\n
133:2:0:1\r\n
134:2:0:0\r\n
135:3:1:0\r\n
136:1:60:0\r\n
137:2:0:1\r\n
138:1:50:1\r\n
139:1:30:1\r\n
140:1:60:1\r\n
141:1:50:0\r\n
142:1:50:1\r\n
143:1:30:1\r\n
144:2:0:1\r\n
145:1:50:1\r\n
146:2:0:1\r\n
147:2:10:1\r\n
148:3:1:1\r\n
149:1:30:1\r\n
150:2:20:1\r\n
151:3:1:1\r\n
152:3:1:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:1:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:1:0\r\n
6:1:30:1\r\n
7:1:60:0\r\n
8:2:0:0\r\n
9:3:1:0\r\n
10:1:60:0\r\n
11:2:0:0\r\n
12:3:1:0\r\n
13:1:60:0\r\n
14:2:0:0\r\n
15:3:1:1\r\n
16:1:50:1\r\n
17:1:30:1\r\n
18:2:20:1\r\n
19:2:0:0\r\n
20:3:1:0\r\n
21:1:60:0\r\n
22:2:0:0\r\n
23:3:1:0\r\n
24:1:60:0\r\n
25:2:0:0\r\n
26:3:1:0\r\n
27:1:60:0\r\n
28:2:0:0\r\n
29:3:1:0\r\n
30:2:20:1\r\n
31:1:60:1\r\n
32:3:1:1\r\n
33:1:60:1\r\n
34:2:0:1\r\n
35:3:1:1\r\n
36:1:50:1\r\n
37:1:30:1\r\n
38:1:60:0\r\n
39:2:0:0\r\n
40:3:1:0\r\n
41:1:60:0\r\n
42:2:0:0\r\n
43:1:60:1\r\n
44:2:0:1\r\n
45:3:1:1\r\n
46:1:50:1\r\n
47:2:10:1\r\n
48:3:1:1\r\n
49:1:60:1\r\n
50:2:0:1\r\n
51:1:50:1\r\n
52:2:10:1\r\n
53:3:1:1\r\n
54:3:1:0\r\n
55:1:60:0\r\n
56:2:0:0\r\n
57:2:0:1\r\n
58:1:50:1\r\n
59:2:20:1\r\n
60:1:50:1\r\n
61:2:10:1\r\n
62:3:1:1\r\n
63:3:1:1\r\n
64:2:0:1\r\n
65:3:1:0\r\n
66:1:60:0\r\n
67:2:0:0\r\n
68:3:1:0\r\n
69:1:60:0\r\n
70:2:0:0\r\n
71:3:1:0\r\n
72:1:60:0\r\n
73:2:0:0\r\n
74:1:60:1\r\n
75:2:0:1\r\n
76:3:1:0\r\n
77:1:60:0\r\n
78:2:0:0\r\n
79:3:1:0\r\n
80:1:60:0\r\n
81:2:0:0\r\n
82:3:1:0\r\n
83:1:60:0\r\n
84:2:0:0\r\n
85:3:1:0\r\n
86:1:60:0\r\n
87:2:0:0\r\n
88:3:1:0\r\n
89:1:60:0\r\n
90:2:0:0\r\n
91:3:1:1\r\n
92:3:1:1\r\n
93:3:1:1\r\n
94:1:60:1\r\n
95:1:50:1\r\n
96:1:30:1\r\n
97:3:1:1\r\n
98:1:50:1\r\n
99:2:10:1\r\n
100:1:60:0\r\n
101:2:0:0\r\n
102:3:1:0\r\n
103:2:0:1\r\n
104:1:50:1\r\n
105:1:30:1\r\n
106:1:60:1\r\n
107:3:1:0\r\n
108:1:50:1\r\n
109:2:10:1\r\n
110:3:1:1\r\n
111:1:60:1\r\n
112:3:1:0\r\n
113:1:10:0\r\n
114:2:10:1\r\n
115:3:1:1\r\n
116:3:1:1\r\n
117:1:60:1\r\n
118:1:60:0\r\n
119:2:0:0\r\n
120:2:20:1\r\n
121:2:20:1\r\n
122:1:50:1\r\n
123:2:10:1\r\n
124:3:1:1\r\n
125:3:1:1\r\n
126:3:1:1\r\n
127:2:20:1\r\n
128:1:60:1\r\n
129:2:0:1\r\n
130:1:50:1\r\n
131:2:10:1\r\n
132:3:1:0\r\n
133:1:60:0\r\n
134:2:0:0\r\n
135:3:1:0\r\n
136:2:10:1\r\n
137:3:1:0\r\n
138:1:60:0\r\n
139:2:0:0\r\n
140:3:1:0\r\n
141:1:60:0\r\n
142:3:1:1\r\n
143:3:1:1\r\n
144:2:0:0\r\n
145:3:1:0\r\n
146:1:60:0\r\n
147:2:0:0\r\n
148:3:1:0\r\n
149:3:1:1\r\n
150:1:30:1\r\n
151:1:60:1\r\n
152:2:0:0\r\n
153:3:1:0\r\n
154:1:60:0\r\n
155:3:1:1\r\n
156:3:1:1\r\n
157:1:30:1\r\n
158:1:60:1\r\n
159:1:60:0\r\n
160:2:0:0\r\n
161:2:10:1\r\n
162:3:1:1\r\n
163:1:50:1\r\n
164:1:60:0\r\n
165:2:0:0\r\n
166:1:60:1\r\n
167:2:0:1\r\n
168:3:1:1\r\n
169:1:50:1\r\n
170:3:1:1\r\n
171:3:1:0\r\n
172:3:1:1\r\n
173:1:50:1\r\n
174:2:20:1\r\n
175:2:0:1\r\n
176:3:1:1\r\n
177:2:20:1\r\n
178:3:1:1\r\n
179:2:20:1\r\n
180:1:60:1\r\n
181:2:0:1\r\n
182:3:1:1\r\n
183:1:50:1\r\n
184:1:60:0\r\n
185:2:0:0\r\n
186:3:1:0\r\n
187:1:60:0\r\n
188:2:0:0\r\n
189:3:1:0\r\n
190:2:0:0\r\n
191:3:1:0\r\n
192:1:60:0\r\n
193:2:0:0\r\n
194:3:1:0\r\n
195:1:60:0\r\n
196:2:0:0\r\n
197:2:0:1\r\n
198:2:0:0\r\n
199:3:1:0\r\n
200:1:60:0\r\n
201:2:0:0\r\n
202:3:1:0\r\n
203:2:0:1\r\n
204:1:50:1\r\n
205:3:1:1\r\n
206:2:0:0\r\n
207:3:1:0\r\n
208:1:50:0\r\n
209:2:0:0\r\n
210:2:20:1\r\n
211:3:1:1\r\n
212:2:0:1\r\n
213:1:30:0\r\n
214:2:0:0\r\n
215:3:1:0\r\n
216:3:1:1\r\n
217:2:0:1\r\n
218:1:50:1\r\n
219:1:30:1\r\n
220:3:1:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:0:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:0:0\r\n
6:1:60:0\r\n
7:2:0:0\r\n
8:3:0:0\r\n
9:1:60:0\r\n
10:2:0:0\r\n
11:3:0:0\r\n
12:1:60:0\r\n
13:2:0:0\r\n
14:3:0:0\r\n
15:1:60:0\r\n
16:2:0:0\r\n
17:3:0:0\r\n
18:1:60:0\r\n
19:2:0:0\r\n
20:3:0:0\r\n
21:1:60:0\r\n
22:2:0:0\r\n
23:1:60:0\r\n
24:2:0:0\r\n
25:3:0:0\r\n
26:1:60:0\r\n
27:2:0:0\r\n
28:3:0:0\r\n
29:1:60:0\r\n
30:2:0:0\r\n
31:3:0:0\r\n
32:1:60:0\r\n
33:2:0:0\r\n
34:3:0:0\r\n
35:1:60:0\r\n
36:2:0:0\r\n
37:3:0:0\r\n
38:1:60:0\r\n
39:2:0:0\r\n
40:1:60:0\r\n
41:2:0:0\r\n
42:3:0:0\r\n
43:1:60:0\r\n
44:2:0:0\r\n
45:3:0:0\r\n
46:1:60:0\r\n
47:2:0:0\r\n
48:3:0:0\r\n
49:1:60:0\r\n
50:2:0:0\r\n
51:3:0:0\r\n
52:1:60:0\r\n
53:2:0:0\r\n
54:3:0:0\r\n
55:1:60:0\r\n
56:2:0:0\r\n
57:1:60:0\r\n
58:2:0:0\r\n
59:3:0:0\r\n
60:1:60:0\r\n
61:2:0:0\r\n
62:3:0:0\r\n
63:1:60:0\r\n
64:2:0:0\r\n
65:3:0:0\r\n
66:1:60:0\r\n
67:2:0:0\r\n
68:3:0:0\r\n
69:1:60:0\r\n
70:2:0:0\r\n
71:3:0:0\r\n
72:1:60:0\r\n
73:2:0:0\r\n
74:1:60:0\r\n
75:2:0:0\r\n
76:3:0:0\r\n
77:1:60:0\r\n
78:2:0:0\r\n
79:3:0:0\r\n
80:1:55:0\r\n
81:2:5:0\r\n
82:3:0:0\r\n
83:1:46:0\r\n
84:2:9:0\r\n
85:3:0:0\r\n
86:1:33:0\r\n
87:2:13:0\r\n
88:3:0:0\r\n
89:1:16:0\r\n
90:2:17:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:1:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:1:0\r\n
6:1:60:0\r\n
7:2:0:0\r\n
8:3:1:0\r\n
9:1:60:0\r\n
10:2:0:0\r\n
11:3:1:0\r\n
12:1:60:0\r\n
13:2:0:0\r\n
14:3:1:0\r\n
15:1:60:0\r\n
16:2:0:0\r\n
17:3:1:0\r\n
18:1:60:0\r\n
19:2:0:0\r\n
20:3:1:0\r\n
21:1:60:0\r\n
22:2:0:0\r\n
23:3:1:0\r\n
24:1:60:0\r\n
25:2:0:0\r\n
26:3:1:0\r\n
27:1:60:0\r\n
28:2:0:0\r\n
29:3:1:0\r\n
30:1:60:0\r\n
31:2:0:0\r\n
32:3:1:0\r\n
33:1:60:0\r\n
34:2:0:0\r\n
35:1:60:0\r\n
36:2:0:0\r\n
37:3:1:0\r\n
38:1:60:0\r\n
39:2:0:0\r\n
40:3:1:0\r\n
41:1:60:0\r\n
42:2:0:0\r\n
43:3:1:0\r\n
44:1:60:0\r\n
45:2:0:0\r\n
46:3:1:0\r\n
47:1:60:0\r\n
48:2:0:0\r\n
49:3:1:0\r\n
50:1:60:0\r\n
51:2:0:0\r\n
52:3:1:0\r\n
53:1:60:0\r\n
54:3:1:0\r\n
55:1:60:0\r\n
56:2:0:0\r\n
57:3:1:0\r\n
58:1:60:0\r\n
59:2:0:0\r\n
60:3:1:0\r\n
61:1:50:0\r\n
62:2:0:0\r\n
63:3:1:0\r\n
64:1:40:0\r\n
65:2:0:0\r\n
66:3:1:0\r\n
67:1:30:0\r\n
68:2:0:0\r\n
69:3:1:0\r\n
70:1:20:0\r\n
71:2:0:0\r\n
72:1:10:0\r\n
73:2:0:0\r\n
74:3:1:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:0:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:0:0\r\n
6:1:60:0\r\n
7:2:0:0\r\n
8:3:0:0\r\n
9:1:60:0\r\n
10:2:0:0\r\n
11:3:0:0\r\n
12:1:60:0\r\n
13:2:0:0\r\n
14:3:0:0\r\n
15:1:60:0\r\n
16:2:0:0\r\n
17:3:0:0\r\n
18:1:60:0\r\n
19:2:0:0\r\n
20:3:0:0\r\n
21:1:60:0\r\n
22:2:0:0\r\n
23:3:0:0\r\n
24:1:60:0\r\n
25:2:0:0\r\n
26:3:0:0\r\n
27:1:60:0\r\n
28:2:0:0\r\n
29:3:0:0\r\n
30:1:60:0\r\n
31:2:0:0\r\n
32:3:0:0\r\n
33:1:60:0\r\n
34:2:0:0\r\n
35:1:60:0\r\n
36:2:0:0\r\n
37:3:0:0\r\n
38:1:60:0\r\n
39:2:0:0\r\n
40:3:0:0\r\n
41:1:60:0\r\n
42:2:0:0\r\n
43:3:0:0\r\n
44:1:60:0\r\n
45:2:0:0\r\n
46:3:0:0\r\n
47:1:60:0\r\n
48:2:0:0\r\n
49:3:0:0\r\n
50:1:60:0\r\n
51:2:0:0\r\n
52:1:60:0\r\n
53:2:0:0\r\n
54:3:0:0\r\n
55:1:60:0\r\n
56:2:0:0\r\n
57:3:0:0\r\n
58:1:60:0\r\n
59:2:0:0\r\n
60:3:0:0\r\n
61:1:60:0\r\n
62:2:0:0\r\n
63:3:0:0\r\n
64:1:60:0\r\n
65:2:0:0\r\n
66:3:0:0\r\n
67:1:60:0\r\n
68:2:0:0\r\n
69:1:60:0\r\n
70:2:0:0\r\n
71:3:0:0\r\n
72:1:60:0\r\n
73:2:0:0\r\n
74:3:0:0\r\n
75:1:60:0\r\n
76:2:0:0\r\n
77:3:0:0\r\n
78:1:56:0\r\n
79:2:4:0\r\n
80:3:0:0\r\n
81:1:48:0\r\n
82:2:8:0\r\n
83:3:0:0\r\n
84:1:39:0\r\n
85:2:9:0\r\n
86:1:29:0\r\n
87:2:10:0\r\n
88:3:0:0\r\n
89:1:18:0\r\n
90:2:11:0\r\n
91:3:0:0\r\n
92:1:3:0\r\n
93:2:15:0\r\n
94:3:0:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:0:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:0:0\r\n
6:1:57:0\r\n
7:2:3:0\r\n
8:3:0:0\r\n
9:1:52:0\r\n
10:2:5:0\r\n
11:3:0:0\r\n
12:1:43:0\r\n
13:2:9:0\r\n
14:3:0:0\r\n
15:1:30:0\r\n
16:2:13:0\r\n
17:3:0:0\r\n
18:1:13:0\r\n
19:2:17:0\r\n
20:3:0:0\r\n
0:1:0:0\r\n
1:2:0:0\r\n
2:3:0:0\r\n
3:1:60:0\r\n
4:2:0:0\r\n
5:3:0:0\r\n
6:1:60:0\r\n
7:2:0:0\r\n
8:3:0:0\r\n
9:1:60:0\r\n
10:2:0:0\r\n
11:3:0:0\r\n
12:1:60:0\r\n
13:2:0:0\r\n
14:3:0:0\r\n
15:1:60:0\r\n
16:2:0:0\r\n
17:3:0:0\r\n
18:1:60:0\r\n
19:2:0:0\r\n
20:3:0:0\r\n
21:1:60:0\r\n
22:2:0:0\r\n
23:1:60:0\r\n
24:2:0:0\r\n
25:3:0:0\r\n
26:1:60:0\r\n
27:2:0:0\r\n
28:3:0:0\r\n
29:1:60:0\r\n
30:2:0:0\r\n
31:3:0:0\r\n
32:1:60:0\r\n
33:2:0:0\r\n
34:3:0:0\r\n
35:1:60:0\r\n
36:2:0:0\r\n
37:3:0:0\r\n
38:1:60:0\r\n
39:2:0:0\r\n
40:1:60:0\r\n
41:2:0:0\r\n
42:3:0:0\r\n
43:1:60:0\r\n
44:2:0:0\r\n
45:3:0:0\r\n
46:1:60:0\r\n
47:2:0:0\r\n
48:3:0:0\r\n
49:1:60:0\r\n
50:2:0:0\r\n
51:3:0:0\r\n
52:1:60:0\r\n
53:2:0:0\r\n
54:3:0:0\r\n
55:1:60:0\r\n
56:2:0:0\r\n
57:1:60:0\r\n
58:2:0:0\r\n
59:3:0:0\r\n
60:1:60:0\r\n
61:2:0:0\r\n
62:3:0:0\r\n
63:1:60:0\r\n
64:2:0:0\r\n
65:3:0:0\r\n
66:1:60:0\r\n
67:2:0:0\r\n
68:3:0:0\r\n
69:1:60:0\r\n
70:2:0:0\r\n
71:3:0:0\r\n
72:1:60:0\r\n
73:2:0:0\r\n
74:1:60:0\r\n
75:2:0:0\r\n
76:3:0:0\r\n
77:1:60:0\r\n
78:2:0:0\r\n
79:3:0:0\r\n
80:1:60:0\r\n
81:2:0:0\r\n
82:3:0:0\r\n
83:1:60:0\r\n
84:2:0:0\r\n
85:3:0:0\r\n
86:1:60:0\r\n
87:2:0:0\r\n
88:3:0:0\r\n
89:1:60:0\r\n
90:2:0:0\r\n
91:3:0:0\r\n
92:2:0:0\r\n
93:3:0:0\r\n
94:1:60:0\r\n
95:2:0:0\r\n
96:3:0:0\r\n
97:1:60:0\r\n
98:2:0:0\r\n
99:3:0:0\r\n
100:1:60:0\r\n
101:2:0:0\r\n
102:3:0:0\r\n
103:1:55:0\r\n
104:2:5:0\r\n
105:1:49:0\r\n
106:2:6:0\r\n
107:3:0:0\r\n
108:1:40:0\r\n
109:2:9:0\r\n
110:3:0:0\r\n
111:2:13:0\r\n
112:3:0:0\r\n
113:1:11:0\r\n
114:2:16:0\r\n
115:3:0:0\r\n
0:1:0:0\r\n
1:3:0:0\r\n
2:1:60:0\r\n
3:2:0:0\r\n
4:3:0:0\r\n
5:1:60:0\r\n
6:2:0:0\r\n
7:3:0:0\r\n
8:1:60:0\r\n
9:2:0:0\r\n
10:3:0:0\r\n
11:1:60:0\r\n
12:2:0:0\r\n
13:3:0:0\r\n
14:1:60:0\r\n
15:2:0:0\r\n
16:3:0:0\r\n
17:1:60:0\r\n
18:2:0:0\r\n
19:3:0:0\r\n
20:1:60:0\r\n
21:2:0:0\r\n
22:3:0:0\r\n
23:1:60:0\r\n
24:2:0:0\r\n
25:3:0:0\r\n
26:1:60:0\r\n
27:2:0:0\r\n
28:3:0:0\r\n
29:1:60:0\r\n
30:2:0:0\r\n
31:3:0:0\r\n
32:1:60:0\r\n
33:2:0:0\r\n
34:3:0:0\r\n
35:1:60:0\r\n
36:2:0:0\r\n
37:1:60:0\r\n
38:2:0:0\r\n
39:3:0:0\r\n
40:1:60:0\r\n
41:2:0:0\r\n
42:3:0:0\r\n
43:1:60:0\r\n
44:2:0:0\r\n
45:3:0:0\r\n
46:1:60:0\r\n
47:2:0:0\r\n
48:3:0:0\r\n
49:1:60:0\r\n
50:2:0:0\r\n
51:3:0:0\r\n
52:1:60:0\r\n
53:2:0:0\r\n
54:1:60:0\r\n
55:2:0:0\r\n
56:3:0:0\r\n
57:1:59:0\r\n
58:2:1:0\r\n
59:3:0:0\r\n
60:1:57:0\r\n
61:2:2:0\r\n
62:3:0:0\r\n
63:1:52:0\r\n
64:2:5:0\r\n
65:3:0:0\r\n
66:1:44:0\r\n
67:2:8:0\r\n
68:3:0:0\r\n
69:1:34:0\r\n
70:2:10:0\r\n
71:3:0:0\r\n
72:2:12:0\r\n
73:3:0:0\r\n
74:1:8:0\r\n
75:2:14:0\r\n
